iter,err_k,err_x
160,8.30440725e-04,8.31480287e-17
161,8.25173319e-04,7.86554485e-17
162,8.19972320e-04,8.08840891e-17
163,8.14836480e-04,8.49343406e-17
164,8.09764586e-04,8.31955283e-17
165,8.04755452e-04,8.20479488e-17
166,7.99807921e-04,8.37634224e-17
167,7.94920866e-04,8.40459306e-17
168,7.90093187e-04,8.28147687e-17
169,7.85323808e-04,8.60434323e-17
170,7.80611682e-04,8.34326206e-17
171,7.75955784e-04,8.38576975e-17
172,7.71355117e-04,8.70476867e-17
173,7.66808703e-04,8.50737678e-17
174,7.62315591e-04,7.97527874e-17
175,7.57874848e-04,7.91561248e-17
176,7.53485567e-04,8.41398891e-17
177,7.49146858e-04,7.82020992e-17
178,7.44857854e-04,8.19997844e-17
179,7.40617705e-04,8.47014519e-17
180,7.36425584e-04,8.14680973e-17
181,7.32280679e-04,7.95047221e-17
182,7.28182198e-04,7.99012569e-17
183,7.24129366e-04,8.18068435e-17
184,7.20121425e-04,7.88561005e-17
185,7.16157634e-04,8.23363432e-17
186,7.12237269e-04,8.39518668e-17
187,7.08359620e-04,8.00000835e-17
188,7.04523994e-04,8.58595786e-17
189,7.00729712e-04,8.24322504e-17
190,6.96976109e-04,8.44679211e-17
191,6.93262535e-04,8.36218104e-17
192,6.89588354e-04,7.67230867e-17
193,6.85952942e-04,8.14195900e-17
194,6.82355691e-04,8.61810652e-17
195,6.78796002e-04,8.01480948e-17
196,6.75273291e-04,7.93057113e-17
197,6.71786984e-04,8.11766184e-17
198,6.68336522e-04,8.32430008e-17
199,6.64921354e-04,8.19515918e-17
200,6.61540942e-04,8.09329174e-17
201,6.58194759e-04,8.46081170e-17
202,6.54882287e-04,8.68204671e-17
203,6.51603019e-04,8.35272691e-17
204,6.48356461e-04,8.12252709e-17
205,6.45142124e-04,7.95543971e-17
206,6.41959532e-04,8.04923963e-17
207,6.38808217e-04,8.19997844e-17
208,6.35687720e-04,8.58595786e-17
209,6.32597593e-04,8.11279368e-17
210,6.29537393e-04,8.35272691e-17
211,6.26506690e-04,7.91061997e-17
212,6.23505057e-04,8.30053668e-17
213,6.20532080e-04,8.06395041e-17
214,6.17587350e-04,8.19997844e-17
215,6.14670467e-04,8.10304858e-17
216,6.11781037e-04,8.06884804e-17
217,6.08918676e-04,7.89562352e-17
218,6.06083004e-04,8.12738942e-17
219,6.03273651e-04,8.13710537e-17
220,6.00490251e-04,8.33378646e-17
221,5.97732448e-04,7.79997648e-17
222,5.94999889e-04,8.09329174e-17
223,5.92292230e-04,8.24801622e-17
224,5.89609133e-04,8.37634224e-17
225,5.86950264e-04,8.08352313e-17
226,5.84315297e-04,7.72362903e-17
227,5.81703911e-04,8.16134464e-17
228,5.79115792e-04,8.28624593e-17
229,5.76550629e-04,8.16134464e-17
230,5.74008120e-04,7.84039114e-17
231,5.71487965e-04,8.70022903e-17
232,5.68989871e-04,8.40929230e-17
233,5.66513549e-04,8.48412618e-17
234,5.64058717e-04,8.17585371e-17
235,5.61625095e-04,8.15165758e-17
236,5.59212411e-04,8.27193050e-17
237,5.56820395e-04,7.97032361e-17
238,5.54448783e-04,8.10792259e-17
239,5.52097315e-04,7.89061837e-17
