iter,err_k,err_x
160,2.51198256e-01,7.75425822e-17
161,2.51158297e-01,7.76952753e-17
162,2.51121462e-01,7.80503976e-17
163,2.51087030e-01,8.07374270e-17
164,2.51054034e-01,7.72874233e-17
165,2.51021741e-01,7.86052055e-17
166,2.50990103e-01,7.73895878e-17
167,2.50959085e-01,7.95047221e-17
168,2.50928198e-01,7.97527874e-17
169,2.50897621e-01,7.74406195e-17
170,2.50868097e-01,7.70826880e-17
171,2.50839511e-01,7.47407820e-17
172,2.50811044e-01,7.97527874e-17
173,2.50781931e-01,8.15650255e-17
174,2.50751752e-01,7.86052055e-17
175,2.50720272e-01,8.05414621e-17
176,2.50687393e-01,7.82526010e-17
177,2.50653211e-01,7.86052055e-17
178,2.50618221e-01,7.73385224e-17
179,2.50583411e-01,7.91061997e-17
180,2.50549371e-01,7.66200335e-17
181,2.50515885e-01,7.71851235e-17
182,2.50482643e-01,7.52149969e-17
183,2.50450012e-01,7.34612447e-17
184,2.50418667e-01,7.76952753e-17
185,2.50388821e-01,7.90062550e-17
186,2.50360411e-01,7.84542833e-17
187,2.50333386e-01,8.18551214e-17
188,2.50307646e-01,7.63617920e-17
189,2.50282935e-01,7.53199725e-17
190,2.50258880e-01,7.78984006e-17
191,2.50235156e-01,8.16134464e-17
192,2.50211347e-01,7.93555108e-17
193,2.50186731e-01,8.00987881e-17
194,2.50160503e-01,7.89562352e-17
195,2.50132228e-01,7.62582505e-17
196,2.50101827e-01,8.00494510e-17
197,2.50068951e-01,7.44229601e-17
198,2.50034566e-01,7.65684549e-17
199,2.49998541e-01,8.09817163e-17
200,2.49962354e-01,7.83535071e-17
201,2.49928126e-01,7.88059854e-17
202,2.49896061e-01,7.91061997e-17
203,2.49865398e-01,7.90562432e-17
204,2.49835278e-01,7.69287790e-17
205,2.49805379e-01,7.93555108e-17
206,2.49776016e-01,8.15165758e-17
207,2.49747141e-01,7.74406195e-17
208,2.49718340e-01,7.76444110e-17
209,2.49689266e-01,7.70826880e-17
210,2.49659681e-01,7.72362903e-17
211,2.49628582e-01,7.94550162e-17
212,2.49594175e-01,7.89562352e-17
213,2.49558043e-01,7.84542833e-17
214,2.49521799e-01,7.74406195e-17
215,2.49485462e-01,7.74406195e-17
216,2.49449217e-01,7.65168415e-17
217,2.49413377e-01,7.46879056e-17
218,2.49378231e-01,7.80503976e-17
219,2.49344242e-01,7.97527874e-17
220,2.49311898e-01,7.83030703e-17
221,2.49281182e-01,7.98517977e-17
222,2.49251581e-01,7.53199725e-17
223,2.49222532e-01,7.87056594e-17
224,2.49193703e-01,7.55294860e-17
225,2.49165017e-01,7.63617920e-17
226,2.49136447e-01,7.79490992e-17
227,2.49107897e-01,7.80503976e-17
228,2.49079267e-01,8.05904980e-17
229,2.49050436e-01,7.52675030e-17
230,2.49021276e-01,7.63100388e-17
231,2.48991762e-01,7.97527874e-17
232,2.48961819e-01,7.82526010e-17
233,2.48931491e-01,7.98023079e-17
234,2.48901160e-01,7.51624541e-17
235,2.48870931e-01,7.97527874e-17
236,2.48840472e-01,8.11766184e-17
237,2.48809924e-01,7.62064271e-17
238,2.48780251e-01,7.97032361e-17
239,2.48752376e-01,8.16618386e-17
240,2.48726595e-01,7.63617920e-17
241,2.48702796e-01,7.38902191e-17
242,2.48680745e-01,7.63617920e-17
243,2.48660187e-01,8.03941749e-17
244,2.48640858e-01,8.10792259e-17
245,2.48622485e-01,8.14680973e-17
246,2.48604775e-01,7.51098745e-17
247,2.48587390e-01,7.62582505e-17
248,2.48569937e-01,7.86554485e-17
249,2.48551954e-01,7.46879056e-17
250,2.48532910e-01,7.74406195e-17
251,2.48512434e-01,7.67230867e-17
252,2.48490823e-01,7.95543971e-17
253,2.48468851e-01,8.28147687e-17
254,2.48446781e-01,7.62582505e-17
255,2.48425899e-01,8.16134464e-17
256,2.48406396e-01,8.04923963e-17
257,2.48387854e-01,7.61026742e-17
258,2.48369749e-01,7.93555108e-17
259,2.48351323e-01,7.68774075e-17
260,2.48331714e-01,7.58947430e-17
261,2.48311094e-01,7.65168415e-17
262,2.48290683e-01,7.94052791e-17
263,2.48270950e-01,7.77969042e-17
264,2.48251376e-01,7.95047221e-17
265,2.48231263e-01,7.34612447e-17
266,2.48210340e-01,8.05904980e-17
267,2.48188995e-01,7.62064271e-17
268,2.48167900e-01,8.12738942e-17
269,2.48147472e-01,7.59467792e-17
270,2.48127807e-01,7.89562352e-17
271,2.48108820e-01,7.89562352e-17
272,2.48090465e-01,7.59467792e-17
273,2.48072857e-01,7.72362903e-17
274,2.48056173e-01,8.16134464e-17
275,2.48040543e-01,8.01480948e-17
276,2.48025969e-01,8.04923963e-17
277,2.48012313e-01,7.75425822e-17
278,2.47999379e-01,7.69801162e-17
279,2.47987001e-01,7.91061997e-17
280,2.47975078e-01,7.84542833e-17
281,2.47963566e-01,7.36760441e-17
282,2.47952454e-01,8.03450192e-17
283,2.47941679e-01,7.55817737e-17
284,2.47931128e-01,7.84039114e-17
285,2.47920643e-01,7.58426712e-17
286,2.47910014e-01,7.92558805e-17
287,2.47898914e-01,8.02466174e-17
288,2.47886769e-01,7.65684549e-17
289,2.47872752e-01,7.75425822e-17
290,2.47856571e-01,7.83030703e-17
291,2.47839364e-01,7.65168415e-17
292,2.47822399e-01,8.11766184e-17
293,2.47805967e-01,7.83535071e-17
294,2.47789830e-01,8.07374270e-17
295,2.47773657e-01,7.96536540e-17
296,2.47757154e-01,7.90562432e-17
297,2.47740112e-01,7.80503976e-17
298,2.47722426e-01,7.74916176e-17
299,2.47703992e-01,7.92558805e-17
300,2.47684569e-01,8.01973713e-17
301,2.47663774e-01,7.75425822e-17
302,2.47641109e-01,7.40504438e-17
303,2.47615790e-01,7.98023079e-17
304,2.47586670e-01,8.01973713e-17
305,2.47554161e-01,7.85549303e-17
306,2.47520075e-01,7.62064271e-17
307,2.47486422e-01,7.69801162e-17
308,2.47454723e-01,8.06884804e-17
309,2.47425500e-01,7.74406195e-17
310,2.47398399e-01,7.95543971e-17
311,2.47372479e-01,7.73895878e-17
312,2.47346504e-01,7.72362903e-17
313,2.47319526e-01,7.85046229e-17
314,2.47291631e-01,7.59987797e-17
315,2.47263514e-01,7.61026742e-17
316,2.47235370e-01,7.95543971e-17
317,2.47207509e-01,7.59467792e-17
318,2.47180697e-01,7.67230867e-17
319,2.47155699e-01,7.79490992e-17
320,2.47132736e-01,7.78476689e-17
321,2.47111473e-01,7.72874233e-17
322,2.47091358e-01,7.89562352e-17
323,2.47071889e-01,7.96040410e-17
324,2.47052690e-01,7.44760246e-17
